iter	Passed	Remaining
0	0	120
1	1	101
2	1	96
3	1	92
4	2	88
5	2	85
6	3	83
7	3	89
8	4	92
9	5	97
10	5	99
11	6	100
12	7	101
13	7	100
14	8	101
15	8	100
16	9	100
17	9	100
18	10	99
19	10	98
20	11	97
21	12	97
22	12	96
23	13	95
24	13	94
25	14	94
26	14	93
27	15	92
28	15	92
29	16	92
30	16	90
31	17	90
32	17	89
33	18	88
34	18	87
35	18	86
36	19	85
37	19	84
38	20	83
39	20	82
40	21	82
41	21	81
42	21	80
43	22	79
44	22	78
45	23	77
46	23	77
47	24	76
48	24	75
49	25	75
50	25	74
51	25	73
52	26	73
53	26	72
54	27	71
55	27	70
56	28	70
57	28	69
58	28	69
59	29	68
60	29	67
61	30	66
62	30	66
63	30	65
64	31	65
65	31	64
66	32	63
67	32	63
68	33	62
69	33	62
70	33	61
71	34	60
72	34	60
73	34	59
74	35	58
75	35	58
76	36	57
77	36	57
78	36	56
79	37	55
80	37	55
81	37	54
82	38	54
83	38	53
84	39	52
85	39	52
86	39	51
87	40	51
88	40	50
89	40	49
90	41	49
91	41	48
92	41	48
93	42	47
94	42	47
95	43	46
96	43	46
97	43	45
98	44	45
99	44	44
100	44	44
101	45	43
102	45	42
103	45	42
104	46	41
105	46	41
106	47	40
107	47	40
108	47	39
109	48	39
110	48	39
111	49	38
112	49	38
113	49	37
114	50	37
115	50	36
116	51	36
117	51	35
118	52	35
119	52	34
120	52	34
121	53	33
122	53	33
123	53	33
124	54	32
125	54	32
126	55	31
127	55	31
128	56	30
129	56	30
130	56	30
131	57	29
132	57	29
133	58	28
134	58	28
135	58	27
136	59	27
137	59	26
138	60	26
139	60	25
140	60	25
141	61	25
142	61	24
143	62	24
144	62	23
145	62	23
146	63	22
147	63	22
148	64	21
149	64	21
150	64	21
151	65	20
152	65	20
153	65	19
154	66	19
155	66	18
156	66	18
157	67	17
158	67	17
159	68	17
160	68	16
161	68	16
162	69	15
163	69	15
164	69	14
165	70	14
166	70	13
167	70	13
168	71	13
169	71	12
170	72	12
171	72	11
172	72	11
173	73	10
174	73	10
175	74	10
176	74	9
177	74	9
178	75	8
179	75	8
180	75	7
181	76	7
182	76	7
183	77	6
184	77	6
185	77	5
186	78	5
187	78	5
188	78	4
189	79	4
190	79	3
191	79	3
192	80	2
193	80	2
194	81	2
195	81	1
196	81	1
197	82	0
198	82	0
199	82	0
