iter	Passed	Remaining
0	0	953
1	1	982
2	3	1021
3	3	962
4	4	932
5	5	916
6	6	921
7	7	898
8	7	880
9	8	863
10	9	847
11	10	839
12	11	836
13	11	831
14	12	824
15	13	816
16	13	807
17	14	802
18	15	797
19	16	790
20	16	788
21	17	785
22	18	779
23	19	773
24	19	769
25	20	767
26	21	767
27	22	765
28	22	764
29	23	762
30	24	758
31	25	756
32	25	754
33	26	755
34	27	753
35	27	748
36	28	746
37	29	745
38	30	745
39	30	742
40	31	739
41	32	737
42	33	739
43	34	738
44	34	737
45	35	735
46	36	733
47	36	732
48	37	729
49	38	728
50	39	727
51	39	726
52	40	725
53	41	723
54	41	720
55	42	717
56	43	716
57	44	716
58	44	715
59	45	713
60	46	711
61	46	710
62	47	708
63	48	707
64	49	706
65	49	705
66	50	704
67	51	702
68	51	700
69	52	700
70	53	699
71	54	697
72	54	696
73	55	694
74	56	692
75	56	692
76	57	690
77	58	689
78	59	688
79	59	686
80	60	685
81	61	684
82	61	679
83	62	678
84	63	678
85	63	677
86	64	676
87	65	676
88	66	676
89	66	676
90	67	675
91	68	675
92	69	675
93	70	675
94	70	675
95	71	675
96	72	674
97	73	673
98	73	673
99	74	673
100	75	673
101	76	673
102	77	672
103	78	675
104	79	674
105	79	673
106	80	672
107	81	672
108	82	673
109	83	672
110	83	672
111	84	670
112	85	669
113	85	668
114	86	667
115	87	666
116	88	664
117	88	663
118	89	661
119	89	659
120	90	658
121	91	655
122	91	655
123	92	654
124	93	654
125	94	654
126	95	653
127	95	652
128	96	652
129	97	654
130	98	653
131	99	653
132	100	652
133	100	650
134	101	651
135	102	650
136	103	649
137	103	648
138	104	646
139	105	645
140	105	644
141	106	642
142	106	640
143	107	639
144	108	637
145	108	636
146	109	636
147	110	635
148	111	635
149	111	634
150	112	634
151	113	632
152	114	632
153	114	631
154	116	635
155	117	635
156	118	634
157	118	632
158	119	631
159	120	630
160	120	627
161	121	626
162	121	625
163	122	623
164	123	622
165	123	622
166	124	621
167	125	620
168	126	619
169	126	618
170	127	617
171	128	616
172	128	615
173	129	614
174	130	613
175	130	613
176	131	611
177	132	611
178	133	610
179	133	609
180	134	608
181	135	607
182	135	606
183	136	605
184	137	604
185	137	603
186	138	602
187	139	600
188	139	600
189	140	599
190	141	599
191	142	598
192	142	597
193	143	596
194	144	595
195	144	594
196	145	593
197	146	592
198	146	591
199	147	590
200	148	589
201	148	588
202	149	587
203	150	586
204	151	585
205	151	584
206	152	583
207	153	582
208	153	582
209	154	581
210	155	580
211	156	579
212	156	578
213	157	577
214	157	576
215	158	575
216	159	574
217	159	573
218	160	572
219	161	571
220	161	570
221	162	569
222	163	568
223	163	567
224	164	566
225	165	565
226	165	564
227	166	563
228	167	562
229	167	561
230	168	560
231	169	559
232	169	559
233	170	558
234	171	557
235	172	557
236	172	556
237	173	555
238	174	554
239	174	553
240	175	552
241	176	551
242	176	550
243	177	549
244	178	548
245	178	547
246	179	546
247	179	545
248	180	544
249	181	543
250	181	542
251	182	541
252	183	540
253	183	539
254	184	539
255	185	538
256	186	538
257	187	538
258	187	537
259	188	536
260	189	537
261	190	536
262	191	536
263	192	536
264	193	535
265	193	534
266	194	533
267	195	532
268	195	531
269	196	530
270	196	529
271	197	528
272	198	527
273	198	526
274	199	525
275	200	525
276	201	525
277	201	524
278	202	523
279	203	523
280	204	522
281	204	521
282	205	520
283	205	519
284	206	518
285	207	517
286	207	516
287	208	515
288	209	514
289	209	514
290	210	513
291	211	512
292	212	511
293	212	510
294	213	510
295	214	509
296	215	509
297	215	508
298	216	508
299	217	507
300	218	507
301	219	506
302	220	506
303	220	505
304	221	504
305	222	504
306	222	503
307	223	502
308	224	501
309	224	500
310	225	499
311	226	498
312	226	497
313	227	496
314	228	495
315	228	494
316	229	493
317	229	493
318	230	492
319	231	491
320	232	490
321	232	490
322	233	489
323	234	488
324	234	487
325	235	486
326	236	485
327	236	485
328	237	484
329	238	483
330	238	482
331	239	481
332	240	480
333	240	480
334	241	479
335	242	478
336	242	477
337	243	476
338	244	475
339	244	475
340	245	474
341	246	473
342	246	472
343	247	471
344	248	471
345	248	470
346	249	469
347	250	468
348	250	467
349	251	466
350	252	466
351	252	465
352	253	464
353	254	463
354	254	462
355	255	461
356	255	461
357	256	460
358	257	459
359	257	458
360	258	457
361	259	456
362	260	456
363	260	455
364	261	454
365	262	454
366	262	453
367	263	452
368	264	451
369	265	451
370	265	450
371	266	449
372	267	449
373	267	448
374	268	447
375	269	446
376	270	446
377	270	445
378	271	444
379	272	443
380	272	443
381	273	442
382	274	441
383	274	440
384	275	440
385	276	439
386	277	439
387	277	438
388	278	438
389	279	437
390	280	437
391	281	436
392	281	435
393	282	434
394	283	433
395	284	433
396	284	432
397	285	431
398	286	431
399	286	430
400	287	429
401	288	429
402	289	428
403	289	427
404	290	426
405	291	426
406	291	425
407	292	424
408	293	424
409	294	423
410	294	422
411	295	421
412	296	420
413	296	420
414	297	419
415	298	418
416	299	418
417	299	417
418	300	416
419	301	415
420	301	415
421	302	414
422	303	413
423	304	412
424	304	412
425	305	411
426	306	410
427	306	410
428	307	409
429	308	408
430	309	408
431	309	407
432	310	406
433	311	405
434	311	405
435	312	404
436	313	403
437	313	402
438	314	401
439	315	400
440	315	400
441	316	399
442	316	398
443	317	397
444	318	397
445	319	396
446	319	395
447	320	395
448	321	394
449	322	393
450	322	392
451	323	392
452	324	391
453	324	390
454	325	389
455	326	389
456	326	388
457	327	387
458	328	386
459	329	386
460	329	385
461	330	384
462	331	384
463	331	383
464	332	382
465	333	381
466	333	381
467	334	380
468	335	379
469	335	378
470	336	378
471	337	377
472	337	376
473	338	375
474	339	374
475	339	374
476	340	373
477	341	372
478	341	371
479	342	370
480	343	370
481	343	369
482	344	368
483	345	368
484	345	367
485	346	366
486	347	365
487	347	364
488	348	364
489	349	363
490	349	362
491	350	362
492	351	361
493	352	360
494	353	360
495	353	359
496	354	358
497	355	358
498	356	357
499	356	356
500	357	355
501	358	355
502	358	354
503	359	353
504	359	352
505	360	352
506	361	351
507	361	350
508	362	349
509	363	349
510	364	348
511	364	347
512	365	346
513	366	346
514	367	345
515	368	345
516	368	344
517	369	343
518	370	343
519	371	342
520	371	341
521	372	341
522	373	340
523	374	340
524	375	339
525	375	338
526	376	337
527	377	337
528	377	336
529	378	335
530	379	335
531	380	334
532	380	333
533	381	332
534	382	332
535	382	331
536	383	330
537	384	330
538	385	329
539	385	328
540	386	327
541	387	327
542	388	326
543	388	325
544	389	325
545	390	324
546	391	323
547	391	323
548	392	322
549	393	321
550	393	321
551	394	320
552	395	319
553	396	318
554	396	318
555	397	317
556	398	316
557	399	316
558	400	315
559	400	314
560	401	314
561	402	313
562	402	312
563	403	312
564	404	311
565	405	310
566	405	309
567	406	309
568	407	308
569	407	307
570	408	306
571	409	306
572	409	305
573	410	304
574	411	304
575	412	303
576	412	302
577	413	301
578	414	301
579	414	300
580	415	299
581	416	299
582	417	298
583	418	298
584	419	297
585	420	296
586	420	296
587	421	295
588	422	294
589	422	293
590	423	293
591	424	292
592	424	291
593	425	290
594	426	290
595	426	289
596	427	288
597	428	287
598	429	287
599	429	286
600	430	285
601	431	285
602	431	284
603	432	283
604	433	282
605	434	282
606	434	281
607	435	280
608	435	279
609	436	279
610	437	278
611	438	277
612	438	276
613	439	276
614	440	275
615	440	274
616	441	274
617	442	273
618	442	272
619	443	271
620	444	271
621	444	270
622	445	269
623	446	269
624	447	268
625	447	267
626	448	266
627	449	266
628	450	265
629	450	264
630	451	264
631	452	263
632	452	262
633	453	261
634	454	260
635	454	260
636	455	259
637	456	258
638	456	258
639	457	257
640	458	256
641	458	255
642	459	255
643	460	254
644	462	254
645	463	253
646	463	253
647	464	252
648	465	252
649	466	251
650	467	250
651	468	249
652	468	249
653	469	248
654	470	247
655	471	247
656	471	246
657	472	245
658	473	244
659	474	244
660	474	243
661	475	242
662	476	242
663	476	241
664	477	240
665	478	239
666	478	239
667	479	238
668	480	237
669	481	237
670	481	236
671	482	235
672	483	234
673	483	234
674	484	233
675	485	232
676	486	231
677	486	231
678	487	230
679	488	229
680	489	229
681	490	228
682	491	227
683	491	227
684	492	226
685	493	225
686	494	225
687	494	224
688	495	223
689	496	223
690	497	222
691	497	221
692	498	220
693	499	220
694	500	219
695	500	218
696	501	217
697	502	217
698	502	216
699	503	215
700	504	215
701	504	214
702	505	213
703	506	212
704	506	212
705	507	211
706	508	210
707	509	210
708	509	209
709	510	208
710	511	207
711	512	207
712	512	206
713	513	205
714	514	205
715	515	204
716	515	203
717	516	202
718	517	202
719	517	201
720	518	200
721	519	199
722	520	199
723	520	198
724	521	197
725	522	197
726	522	196
727	523	195
728	524	194
729	524	194
730	525	193
731	526	192
732	526	191
733	527	191
734	528	190
735	529	189
736	530	189
737	530	188
738	531	187
739	532	187
740	533	186
741	533	185
742	534	184
743	535	184
744	535	183
745	536	182
746	537	182
747	538	181
748	538	180
749	539	179
750	540	179
751	541	178
752	541	177
753	542	176
754	543	176
755	543	175
756	544	174
757	545	174
758	545	173
759	546	172
760	547	171
761	547	171
762	548	170
763	549	169
764	550	169
765	550	168
766	551	167
767	552	166
768	553	166
769	554	165
770	555	164
771	555	164
772	556	163
773	557	162
774	557	161
775	558	161
776	559	160
777	559	159
778	560	159
779	561	158
780	562	157
781	562	156
782	563	156
783	564	155
784	564	154
785	565	153
786	566	153
787	567	152
788	567	151
789	568	151
790	569	150
791	570	149
792	570	149
793	571	148
794	572	147
795	573	146
796	573	146
797	574	145
798	575	144
799	575	143
800	576	143
801	577	142
802	578	141
803	578	141
804	579	140
805	580	139
806	581	138
807	581	138
808	582	137
809	583	136
810	584	136
811	584	135
812	585	134
813	586	133
814	586	133
815	587	132
816	588	131
817	588	130
818	589	130
819	590	129
820	590	128
821	591	128
822	592	127
823	592	126
824	593	125
825	594	125
826	594	124
827	595	123
828	595	122
829	596	122
830	597	121
831	597	120
832	598	120
833	599	119
834	600	118
835	600	117
836	601	117
837	602	116
838	602	115
839	603	114
840	603	114
841	604	113
842	605	112
843	606	112
844	606	111
845	607	110
846	607	109
847	608	109
848	609	108
849	610	107
850	610	106
851	611	106
852	612	105
853	613	104
854	613	104
855	614	103
856	615	102
857	615	101
858	616	101
859	617	100
860	617	99
861	618	99
862	619	98
863	619	97
864	620	96
865	621	96
866	621	95
867	622	94
868	623	93
869	623	93
870	624	92
871	625	91
872	626	91
873	627	90
874	628	89
875	628	89
876	629	88
877	630	87
878	630	86
879	631	86
880	632	85
881	632	84
882	633	83
883	634	83
884	634	82
885	635	81
886	636	81
887	636	80
888	637	79
889	638	78
890	639	78
891	640	77
892	640	76
893	641	76
894	642	75
895	643	74
896	644	73
897	644	73
898	645	72
899	646	71
900	647	71
901	647	70
902	648	69
903	649	68
904	649	68
905	650	67
906	652	66
907	653	66
908	653	65
909	654	64
910	655	64
911	655	63
912	656	62
913	657	61
914	657	61
915	658	60
916	659	59
917	660	58
918	660	58
919	661	57
920	662	56
921	662	56
922	663	55
923	664	54
924	664	53
925	665	53
926	666	52
927	666	51
928	667	51
929	668	50
930	669	49
931	669	48
932	670	48
933	671	47
934	672	46
935	672	46
936	673	45
937	674	44
938	675	43
939	675	43
940	676	42
941	677	41
942	678	40
943	678	40
944	679	39
945	680	38
946	681	38
947	681	37
948	682	36
949	683	35
950	684	35
951	684	34
952	685	33
953	686	33
954	687	32
955	687	31
956	688	30
957	689	30
958	690	29
959	690	28
960	691	28
961	692	27
962	692	26
963	693	25
964	694	25
965	695	24
966	695	23
967	696	23
968	696	22
969	697	21
970	698	20
971	698	20
972	699	19
973	700	18
974	700	17
975	701	17
976	702	16
977	703	15
978	703	15
979	704	14
980	705	13
981	706	12
982	707	12
983	707	11
984	708	10
985	709	10
986	709	9
987	710	8
988	711	7
989	711	7
990	712	6
991	712	5
992	713	5
993	714	4
994	715	3
995	715	2
996	716	2
997	717	1
998	718	0
999	718	0
